"","cityname","Jahr","Gesamt","Beruf_Handwerk","Beruf_Gelehrte","Beruf_Kaufleute","district","longitude","latitude"
"1","Allenburg","1862","49","14","6","29","Königsberg","21.1922225952148","54.4925003051758"
"2","Braunsberg","1864","60","19","14","27","Königsberg","19.8166675567627","54.3836097717285"
"3","Gutstadt","1864","27","6","4","17","Königsberg","20.39894478525048","53.98675110313037"
"4","Heiligenbeil","1862","62","25","16","21","Königsberg","19.9333324432373","54.466667175293"
"5","Koenigsberg","1842","897","70","192","630","Königsberg","20.450751851198348","54.71048821570431"
"6","Labiau","1861","139","50","39","50","Königsberg","21.1000003814697","54.8666648864746"
"7","Liebstadt","1862","16","3","4","9","Königsberg",NA,NA
"8","Mehlsack","1861","36","13","11","12","Königsberg","20.1166667938232","54.216667175293"
"9","Memel","1863","93","80","9","4","Königsberg","21.1433484810962","55.7029338290122"
"10","Memel","1861","280","47","50","170","Königsberg","21.1433484810962","55.7029338290122"
"11","Mohrungen","1862","29","4","8","17","Königsberg","19.9333324432373","53.9166679382324"
"12","Ortelsburg","1861","48","7","24","17","Königsberg","20.9852771759033","53.5627784729004"
"13","Preussisch-Eylau","1864","52","24","19","9","Königsberg","20.637313077504167","54.38562604846217"
"14","Preussisch-Holland","1861","30","2","13","15","Königsberg","19.66298474537084","54.061932132044554"
"15","Wehlau","1862","60","na","na","na","Königsberg","21.216667175293","54.6166648864746"
"16","Wormditt","1862","41","5","7","29","Königsberg","20.1333332061768","54.0999984741211"
"17","Eydkuhnen","1862","54","1","0","53","Gumbinnen","22.7427278700594","54.64029438968"
"18","Gumbinnen","1863","34","11","6","17","Gumbinnen","22.1833343505859","54.5833320617676"
"19","Insterburg","1858","133","28","15","90","Gumbinnen","21.8166675567627","54.6333351135254"
"20","Ragnit","1864","163","63","28","72","Gumbinnen","22.033332824707","55.033332824707"
"21","Russ","1863","54","26","4","22","Gumbinnen","21.3704323457992","55.2978773469916"
"22","Tilsit","1861","228","34","24","170","Gumbinnen","21.8833332061768","55.0833320617676"
"23","Danzig","1860","185","17","51","117","Danzig","18.6527786254883","54.3505554199219"
"24","Danzig","1862","111","76","5","30","Danzig","18.6527786254883","54.3505554199219"
"25","Dirschau","1862","74","25","9","40","Danzig","18.7843608856201","54.0923881530762"
"26","Elbing","1859","124","17","22","55","Danzig","19.3999996185303","54.1666679382324"
"27","Marienburg","1861","63","11","11","41","Danzig","19.0416660308838","54.033332824707"
"28","Neufahrwasser","1863","39","13","10","16","Danzig","18.664045847040523","54.40105482619378"
"29","Neustadt Westpreussen","1863","137","23","15","49","Danzig","18.233007537187113","54.60059391495339"
"30","Preussisch Stargard","1860","66","75","4","37","Danzig","18.5134208767725","53.9657976652989"
"31","Tiegenhof","1862","40","5","10","25","Danzig","19.1166667938232","54.216667175293"
"32","Tiegenhof","1862","40","5","10","25","Danzig","19.11737987376981","54.20792266426634"
"33","Culm","1861","38","11","19","8","Marienwerder","18.4262027740479","53.3497352600098"
"34","Deutsch-Krone","1862","33","13","3","17","Marienwerder","16.474695244620044","53.273782833312694"
"35","Graudenz","1859","145","7","17","21","Marienwerder","18.7551918029785","53.4863967895508"
"36","Marienwerder","1861","29","29","27","73","Marienwerder","18.9222221374512","53.7358322143555"
"37","Mewe","1862","41","29","6","6","Marienwerder","18.8239574432373","53.8351707458496"
"38","Neuenburg","na","","","","","Marienwerder","7.55972242355347","47.8138885498047"
"39","Neuenburg","na","","","","","Marienwerder","18.7282447814941","53.6476287841797"
"40","Neumark","1862","47","19","8","20","Marienwerder","19.5918388366699","53.4240608215332"
"41","Schwetz","1861","79","30","9","40","Marienwerder","18.4462661743164","53.40869140625"
"42","Strassburg","1862","53","29","10","14","Marienwerder",NA,NA
"43","Thorn","1860","109","16","8","35","Marienwerder","18.6111545562744","53.0187835693359"
"44","Bromberg","1859","136","42","12","64","Bromberg","18.011058807373","53.1205177307129"
